"Rank(total)","Country","Total (percent)","Date"
1,"Niger",49.3,"2016 est."
2,"Uganda",48.3,"2016 est."
3,"Mali",47.3,"2016 est."
4,"Malawi",46.5,"2016 est."
5,"Zambia",46.1,"2016 est."
6,"Burundi",45.6,"2016 est."
7,"Burkina Faso",45,"2016 est."
8,"Mozambique",44.9,"2016 est."
9,"South Sudan",44.9,"2016 est."
10,"Tanzania",44.1,"2016 est."
11,"Ethiopia",43.7,"2016 est."
12,"Chad",43.6,"2016 est."
13,"Somalia",43.4,"2016 est."
14,"Benin",43,"2016 est."
15,"Nigeria",42.8,"2016 est."
16,"Angola",42.7,"2016 est."
17,"Cameroon",42.6,"2016 est."
18,"São Tomé and Príncipe",42.5,"2016 est."
19,"Liberia",42.3,"2016 est."
20,"Congo (Democratic Republic)",42.2,"2016 est."
21,"Gabon",42,"2016 est."
22,"Sierra Leone",41.9,"2016 est."
23,"Senegal",41.9,"2016 est."
24,"Guinea",41.7,"2016 est."
25,"Congo (Republic)",41.5,"2016 est."
25,"Rwanda",41.5,"2016 est."
27,"East Timor",41.4,"2016 est."
28,"Afghanistan",41,"2016 est."
29,"Kenya",40.9,"2016 est."
30,"Eritrea",40.7,"2016 est."
31,"Yemen",40.5,"2016 est."
32,"Togo",40.4,"2016 est."
33,"Palestinian Territories",40.3,"2016 est."
34,"Central African Republic",40.3,"2016 est."
35,"Madagascar",40.2,"2016 est."
36,"Equatorial Guinea",40.2,"2016 est."
37,"Comoros",40.1,"2016 est."
38,"Iraq",39.9,"2016 est."
39,"Sudan",39.4,"2016 est."
40,"Guinea-Bissau",39.3,"2016 est."
41,"Mauritania",38.9,"2016 est."
42,"Ghana",38.2,"2016 est."
43,"Gambia",37.9,"2016 est."
44,"Zimbabwe",37.8,"2016 est."
45,"Western Sahara",37.5,"2016 est."
46,"Côte d'Ivoire (Ivory Coast)",37.5,"2016 est."
47,"Namibia",37.4,"2016 est."
48,"Vanuatu",36.1,"2016 est."
49,"Swaziland",35.5,"2016 est."
50,"Marshall Islands",35.5,"2016 est."
51,"Solomon Islands",35.1,"2016 est."
52,"Jordan",35,"2016 est."
53,"Guatemala",35,"2016 est."
